,listing_id,name,latitude,longitude,property_type,accommodates,bathrooms,bedrooms,beds,review_scores_rating
580,6500646,Spacious Room - Chinatown Apartment,42.35223468,-71.06228898,Apartment,1,1.0,1.0,1.0,100.0
582,7434871,Theater District 2 LEVEL LOFT!,42.34939321,-71.06263704,Condominium,8,1.0,3.0,4.0,86.0
583,7630340,Downtown / Back Bay 1 Bed W/Parking,42.34859634,-71.06276020000001,Apartment,4,1.0,1.0,2.0,83.0
584,2848239,New 1 BD Downtown ( 1 ),42.35008236,-71.05978021,Apartment,3,1.0,1.0,1.0,97.0
585,994317,[1168-1C]Elegant 1BR - Downtown Boston,42.35219725,-71.06199509999999,Apartment,2,1.0,1.0,1.0,90.0
588,13813380,2-Bed & 2-Bath Apartment in the Heart of Boston!,42.35231485,-71.06153922,Apartment,2,1.0,1.0,1.0,100.0
589,10116726,Dowtown Boston 1BR Apt-Logan Airprt,42.35160596,-71.06154627,Apartment,3,1.0,1.0,1.0,80.0
593,9183638,Spacious Downtown Apt + Courtyard,42.34748332,-71.06079649,Apartment,4,2.0,2.0,2.0,100.0
597,11126122,2BR Lux Apt in Downtown,42.35105901,-71.06289157,Apartment,3,1.0,2.0,1.0,96.0
598,12067685,Central sunny apt. (fun rugs),42.34942448,-71.06341297,Apartment,4,1.0,1.0,1.0,80.0
599,10116429,Dowtown Boston 1BR Apt.+Indoor Pool,42.35125462,-71.06124548,Apartment,3,1.0,1.0,1.0,100.0
600,13943142,Chinatown Single Bedroom,42.34846893,-71.06020840000001,Apartment,2,1.0,1.0,1.0,80.0
603,4255538,Theater District 1BR 1Bath Cityview,42.34709918,-71.06269808,Apartment,4,1.0,1.0,1.0,98.0
607,14506396,Chinatown Bedroom,42.34864828,-71.06012876,Apartment,2,1.0,1.0,1.0,100.0
610,4445906,Lux Downtown Boston 2BR Apt w/pool,42.35158128,-71.06172714,Apartment,5,2.0,2.0,3.0,87.0
611,10116601,Dowtown Boston 1BR Apt+Indoor Pool,42.35206849,-71.06194463,Apartment,3,1.0,1.0,1.0,100.0
615,11772497,"Spacey, cozy apartment in Downtown!",42.35180091,-71.06135144,Apartment,6,1.0,2.0,2.0,86.0
618,2722165,Beautiful downtown loft for 4,42.35019448,-71.06205569,Loft,4,1.0,2.0,2.0,92.0
620,12986016,"Lux 1BR in Chinatown w/WiFi, Gym",42.34989023,-71.06067687,Apartment,3,1.0,1.0,2.0,100.0
622,14222649,Chinatown Single Bedroom,42.34811636,-71.06165024,Apartment,2,1.0,1.0,1.0,60.0
624,10117329,LUX Boston 2BR Apt. Logan Airport,42.35090795,-71.06197529,Apartment,5,2.0,2.0,2.0,100.0
625,721979,[1168-2C]Elegant 2BRs - Downtown Boston,42.35072286,-71.06293733,Apartment,4,2.0,2.0,2.0,97.0
628,13059,White Elephant Inn - Downtown! ,42.36398159,-71.05030896,Boat,10,2.0,3.0,6.0,94.0
629,369880,North End Boston Studio Condo,42.36609014,-71.05255465,Apartment,4,1.0,1.0,2.0,96.0
631,12826145,Spacious 2 story home in Boston's North End,42.36468987,-71.05291981,Apartment,2,1.0,1.0,1.0,100.0
632,8555187,bedroom in North End,42.36662093,-71.05543429,Apartment,1,1.0,1.0,1.0,95.0
634,10928093,Modern 2 bed in Heart of North End,42.36567957,-71.05666097,Apartment,4,1.0,2.0,2.0,80.0
635,9834727,"Boston's North End-""Little Italy""",42.36399221,-71.05488133,Condominium,2,1.0,1.0,1.0,93.0
636,8011545,"private BR in North end, Boston",42.36662779,-71.05450943,Apartment,1,1.0,1.0,1.0,98.0
637,14204600,North End 2 BR | 1 BA Duplex in Little Italy,42.36784682,-71.05300114,Apartment,6,1.0,2.0,2.0,94.0
638,10106081,"In the heart of North End, Boston.",42.36646544,-71.05375656,Apartment,2,1.0,1.0,2.0,97.0
639,14461498,Cozy North End Studio,42.36732588,-71.0547801,Apartment,3,1.0,0.0,1.0,100.0
640,4553903,Stunning Luxury North End Loft!,42.36561867,-71.05697669,Apartment,3,1.0,1.0,2.0,94.0
641,11648212,North End Gem,42.36638188,-71.05587868,Apartment,2,1.0,1.0,1.0,100.0
642,916123,Old North Parlor Flat on the Court,42.36722286,-71.05736033,Apartment,2,1.0,1.0,1.0,88.0
644,5782221,"""La Gemma"" - a gem in the North End",42.36782034,-71.05324155,Apartment,4,1.5,2.0,2.0,99.0
645,13744821,"2BR/2ba Large North End, perfect location!",42.36286159,-71.05569932,Apartment,5,2.0,2.0,2.0,97.0
646,12221012,Family Friendly North End 2BR,42.36301277,-71.05176378,Apartment,4,1.0,2.0,2.0,100.0
647,2898226,Modern North End 1BR Apartment,42.36454385,-71.05326897,Apartment,3,1.0,1.0,2.0,87.0
648,12843196,North End Gem,42.36543143,-71.05735141,Apartment,8,1.5,1.0,5.0,100.0
649,13478348,Cozy 2BD North End apt,42.36424351,-71.05617538,Apartment,3,1.0,2.0,1.0,98.0
650,14104621,"Simple, comfortable and convenient",42.36591852,-71.05314191,Apartment,2,1.0,1.0,1.0,100.0
652,12269155,Boston Apartment (North End),42.36520055,-71.05823467,Apartment,2,1.0,1.0,1.0,97.0
653,13800505,Downtown Boston semi-private room,42.36102239,-71.05276753,Apartment,2,1.0,1.0,2.0,60.0
654,13007124,Modern North End Studio,42.36707114,-71.05364659,Apartment,2,1.0,0.0,1.0,88.0
656,13248823,Cozy North End Studio - Perfect location!,42.3686825,-71.05430826,Apartment,2,1.0,0.0,1.0,100.0
657,12957423,Artist 1BR Loft in North End,42.3639614,-71.05462384,Apartment,3,1.0,1.0,2.0,96.0
658,13107648,Private Queen room and Loft with 2 single beds,42.36666014,-71.05209407,House,4,1.0,1.0,3.0,98.0
659,2831504,Yknot - Fabulous Rental on Water!,42.36365227,-71.05123941,Boat,6,2.0,2.0,4.0,90.0
660,2842124,Charming 1-bedroom in the North End,42.3637822,-71.05564322,Apartment,3,1.0,1.0,2.0,84.0
661,14282764,Heart of Historic North End,42.36728035,-71.05512961,Apartment,4,1.0,1.0,1.0,80.0
662,13709092,Spacious & private in the heart of the north end,42.3652984,-71.05467505,Apartment,2,1.0,0.0,1.0,93.0
663,9858828,North End Oasis,42.36486693,-71.05769065,Apartment,2,1.0,0.0,1.0,98.0
665,7582651,North End Apartment!,42.36492962,-71.05645065,Apartment,4,1.0,2.0,2.0,100.0
666,11924459,"Beth's Place, feel at home.",42.36666039,-71.05315578,House,2,1.0,1.0,1.0,98.0
667,766700,Under the Light of Old North Church,42.36639331,-71.05536891,Apartment,2,1.0,1.0,1.0,88.0
668,13005579,New renovation on the Freedom Trail,42.36523984,-71.05213405,Apartment,4,1.0,2.0,2.0,93.0
669,3434614,1BR Apartment - North End,42.3642099,-71.05407738,Apartment,3,1.0,1.0,1.0,94.0
671,4518100,2 Bedroom in Boston's North End,42.36578313,-71.05337556,Apartment,4,1.0,1.0,2.0,86.0
672,4304969,Designer 1BR North End Modern Cove,42.36573322,-71.05535836,Apartment,4,1.0,1.0,1.0,97.0
673,2943804,Yacht Rental Lola Downtown Boston! ,42.3639776,-71.04953483,Boat,5,1.5,2.0,4.0,94.0
674,11922134,"Boston's favorite ""Little Italy""",42.36430462,-71.05616674,Apartment,4,1.0,1.0,2.0,83.0
675,2043541,16 Battery McPhee’s Apartment (#1R),42.36684601,-71.05118641,Apartment,6,1.0,2.0,3.0,87.0
676,2043529,16 Battery Cindy’s Apartment (#G),42.36566299,-71.0513054,Apartment,4,1.0,2.0,2.0,84.0
677,9750460,Beautiful 2 Bedroom North End Apt,42.36296395,-71.05608132,Apartment,4,1.0,2.0,2.0,93.0
678,2043261,16 Battery Weston’s Apartment (#1F),42.36573204,-71.05300053,Apartment,3,1.0,1.0,2.0,75.0
679,815639,MedaevalModernHaven in the NorthEnd,42.36758116,-71.05611278,Apartment,2,1.0,1.0,1.0,92.0
680,6089865,Modern Flat on freedomTrail Apt.,42.36692408,-71.05607592,Apartment,2,1.0,1.0,1.0,96.0
681,2633478,Sleep on a Houseboat in Downtown!,42.362351200000006,-71.05150191,Boat,4,1.0,2.0,3.0,90.0
683,9841140,Luxury 2 bed 1.5 bath in North End M112,42.36378841,-71.05502676,Condominium,6,1.5,2.0,3.0,97.0
684,13298108,"Modern Apt, Heart of North End",42.36515137,-71.0567922,Condominium,2,1.0,1.0,1.0,93.0
685,4924910, Cozy Spot in Boston's Little Italy,42.36576276,-71.05735612,Apartment,2,1.0,1.0,1.0,87.0
686,13642397,Cozy Nautical North End Apt,42.36620466,-71.05523086,Apartment,2,1.0,1.0,1.0,100.0
688,4580825,"Best Boston location, 2BR (M#1)",42.363218200000006,-71.05144793,Apartment,4,2.0,2.0,2.0,89.0
690,9610609,Lodging at Boston Harbor (2 BR),42.36616888,-71.05040049,Apartment,5,1.0,2.0,2.0,80.0
691,3006311,Spacious cozy Little Italy,42.36546883,-71.05196445,Apartment,2,1.0,1.0,1.0,94.0
692,13414367,Quiet 1BR in the heart of the North End,42.36473524,-71.0541282,Apartment,3,1.0,1.0,1.0,92.0
693,8036024,Upscale Faneuil Hall / N. End Oasis,42.36345602,-71.05720717,Condominium,3,1.0,1.0,2.0,97.0
694,24240,The Golden Slipper,42.36366048,-71.05023194,Boat,6,2.0,2.0,2.0,95.0
695,12425501,Authentic NORTH END 3br! Lil Italy!,42.36631361,-71.05797831,Apartment,9,1.0,3.0,4.0,87.0
696,6939759,Spacious 2 BR North End Apartment,42.3618829,-71.05296259,Apartment,4,1.0,2.0,2.0,100.0
697,3129309,Charming freedom trail apartment,42.36570948,-71.05560298,Apartment,2,1.0,1.0,1.0,92.0
698,4350995,Charming loft in the North End!,42.36565754,-71.05588173,Loft,2,1.0,1.0,1.0,97.0
699,6971836,Boston Oasis!,42.36182818,-71.05248304,Apartment,3,1.0,1.0,1.0,95.0
700,1220971,Boston Huge 1BR Best location (h2b),42.36509661,-71.053646,Apartment,5,1.0,1.0,4.0,89.0
701,3664031,2 bedroom condo in Downtown Boston,42.36381373,-71.05159627,Apartment,4,1.0,2.0,2.0,93.0
703,4089940,"North End, 1 Bed Apt w/ office, Boston",42.36595644,-71.0526821,Apartment,2,1.0,1.0,1.0,92.0
704,1615033,Best Cozy Freedom trail apartment!!,42.36796047,-71.05572927,Apartment,2,1.0,1.0,1.0,87.0
705,11624428,Lovely North End condo near Boston Harbor,42.36303226,-71.05088801,Apartment,4,1.0,1.0,4.0,100.0
706,9331460,Spacious North End pvt bed/bath,42.36153167,-71.05373015,Apartment,2,1.0,1.0,1.0,100.0
707,9117009,North End Boston,42.36591325,-71.05431663,Apartment,2,1.0,1.0,1.0,91.0
708,14572511,Cozy and Quiet North End Duplex 1 Bedroom,42.36342827,-71.05527287,Apartment,4,1.0,1.0,2.0,100.0
709,220676,Private room off the Freedom Trail.,42.36539015,-71.05438197,House,5,1.0,1.0,1.0,98.0
710,891661,GORGEOUS WATER FRT NORTH END STUDIO,42.36853097,-71.05362605,Apartment,4,1.0,1.0,2.0,91.0
712,5511911,"Bright, Spacious Loft in North End",42.36509127,-71.05552534,Loft,2,1.0,1.0,1.0,100.0
713,7036112,SPACIOUS 1BR HEART OF N. END DWNTWN,42.36312956,-71.05315937,Apartment,3,1.0,1.0,1.0,97.0
715,14429876,Shared room in the heart of North End,42.36785467,-71.05556522,Apartment,2,1.0,1.0,1.0,93.0
716,7018497,2 Bedroom in the heart of Boston,42.36638428,-71.05704197,Apartment,4,1.5,2.0,2.0,90.0
718,6134145,Immaculate in the North End,42.36614827,-71.05257865,Apartment,4,1.0,2.0,2.0,95.0
719,8556025,Historic North End Modern 2 Bed,42.36758549,-71.05630475,Apartment,4,1.0,2.0,2.0,96.0
720,5755910,Boston/gym/family friendly,42.36572429,-71.05838781,Apartment,4,2.0,2.0,3.0,96.0
721,9425902,Beautiful North End 1BR Apartment,42.36652442,-71.05213169,Apartment,2,1.0,1.0,1.0,100.0
723,1758953,North End - Little Italy,42.36735877,-71.05565368,Apartment,2,1.0,1.0,1.0,94.0
724,1094599,Fabulous Houseboat in Downtown! ,42.36354716,-71.05122800000001,House,6,1.0,2.0,3.0,96.0
726,7181950,Spacious North End 1 BR | 1BA,42.36503183,-71.05098528,Apartment,4,1.0,1.0,1.0,98.0
727,6197950,Family-Friendly 2-Story Downtown,42.36264154,-71.05407781,Apartment,6,2.0,2.0,3.0,98.0
728,971393,North End Studio - Private Roofdeck,42.3680939,-71.05671598,Apartment,2,1.0,1.0,1.0,95.0
729,9344096,Spacious 3BR in Historic North End,42.36542863,-71.05218805,Apartment,6,1.0,3.0,3.0,93.0
731,12784064,"New, bright, clean,  2 bedroom, amazing location!!",42.364672799999994,-71.05575618,Condominium,6,1.0,2.0,4.0,95.0
732,8458210,Large 2 BR | 1BA in the North End,42.36858099,-71.05358771,Apartment,6,1.0,2.0,2.0,99.0
733,2183058,Historic Boston North End Condo,42.36429253,-71.05452105,Apartment,4,1.0,1.0,1.0,98.0
734,4279959,Charming 1 br in the north end,42.36564449,-71.05537143,Apartment,2,1.0,1.0,1.0,90.0
735,2657905,Boston  Best One Bdrm duplex (h2c),42.36484712,-71.05233441,Apartment,3,1.0,1.0,1.0,88.0
736,4558443,North End Get Away!,42.36686168,-71.05786188,Apartment,2,1.0,0.0,2.0,94.0
737,4034018,"Penthouse Apt + Roof, North End",42.36539334,-71.05534797,Apartment,2,2.0,1.0,2.0,97.0
739,2658094,Boston  Little Italy 2 Bdrms  (H2d),42.36665816,-71.0519285,Apartment,6,1.0,2.0,4.0,86.0
740,11229070,Private Room in the Cozy North End,42.36624242,-71.05262024,Apartment,2,1.0,1.0,1.0,97.0
741,10997047,"Historic 1 BDRM, 20 Steps From Old North Church",42.36541468,-71.05610958,Apartment,4,1.0,1.0,2.0,91.0
742,3967611,Beautiful 1BD North End/Waterfront,42.36262873,-71.05373335,Apartment,3,1.0,1.0,2.0,90.0
743,7080514,Cozy place in the North End,42.36570748,-71.05770806,Apartment,2,1.0,1.0,1.0,100.0
744,12585455,North End Gem!,42.3653753,-71.05716529,Townhouse,4,1.5,1.0,4.0,96.0
745,4573388,"Best Boston location, 2BR (M #3)",42.36381158,-71.05342285,Apartment,4,1.0,2.0,3.0,89.0
746,9259184,Luxury 2brm/2bath apt in North End,42.36516569,-71.05694392,Apartment,4,2.0,2.0,2.0,96.0
749,4573238,"Best Boston location, 2BR (M #2)",42.36388748,-71.05199169,Apartment,4,1.0,2.0,3.0,87.0
750,9706199,Charming 1B in the heart North End,42.36400448,-71.05372207,Apartment,4,1.0,1.0,1.0,93.0
751,12683680,Renovated North End Apartment,42.36495523,-71.05719316,Apartment,4,1.0,2.0,2.0,100.0
752,8227206,AIR LUXE: APARTMENT @ CORNER OF LUXURY & HISTORY,42.36508294,-71.05560961,Apartment,2,1.0,1.0,1.0,93.0
753,4573458,"Best Boston location, 2BR (M #4)",42.36395429,-71.0515869,Apartment,4,1.0,2.0,3.0,87.0
754,369940,North End 2 Bedroom Boston Condo,42.36518961,-71.05536089,Apartment,4,1.0,2.0,4.0,96.0
756,3032367,Little Italy spacious apartment,42.36632685,-71.05434377,Apartment,2,1.0,1.0,1.0,98.0
757,6801288,Excellent Location in the North End,42.36484714,-71.05300914,Apartment,1,1.0,1.0,1.0,92.0
759,10175033,North End Apt. w/ a view!,42.36666891,-71.05642985,Apartment,5,1.0,2.0,3.0,99.0
760,12599820,North End Furnished Condo!,42.36555489,-71.05452259,Condominium,2,1.0,1.0,1.0,100.0
761,5768195,Charming North End bedroom,42.36440845,-71.05784259,Apartment,2,1.0,1.0,1.0,100.0
762,13140867,North End flat just off Hanover Street,42.36617916,-71.05433136,Apartment,2,1.0,1.0,1.0,100.0
763,11223924,North End 1 BR Gem in Little Italy,42.36381525,-71.0527796,Apartment,4,1.0,1.0,1.0,97.0
764,2376518,North End - Salem St - Harbor,42.36258546,-71.05565490000001,Apartment,4,1.0,1.0,2.0,97.0
765,14483758,Downtown Boston | Modern 1 Bedroom | The North End,42.36401225,-71.05681068,Apartment,3,1.0,1.0,2.0,90.0
766,13074722,"Sunny, art-filled North End loft with fireplace",42.36425947,-71.05590351,Loft,2,1.0,1.0,1.0,100.0
767,4653267,Quaint Apt in Heart of North End,42.36361503,-71.05375512,Apartment,4,1.0,1.0,2.0,100.0
768,7454907,North End Apartment,42.36515136,-71.0557107,Apartment,4,1.0,2.0,2.0,100.0
769,13258244,Comfortable quite room.,42.31626447,-71.09222252,Apartment,1,1.5,1.0,1.0,100.0
770,7273513,1 bedroom condo in Fort Hill,42.32457935,-71.08963859,Condominium,3,1.0,1.0,1.0,100.0
771,12494334,"Sweet Spot, Fort hill",42.33021363,-71.09232420000001,Apartment,2,1.0,1.0,1.0,70.0
772,8014642,Nice bedroom in a shared apt.,42.32554316,-71.09757057,House,2,1.0,1.0,1.0,70.0
773,13653233,Spacious 3BR in South End,42.33529262,-71.08686083,Apartment,6,1.0,3.0,3.0,90.0
774,8238404,A1. Office/Business Suite,42.32999836,-71.09480356,House,2,2.0,1.0,1.0,91.0
775,7293671,Spacious private bedroom in house,42.32725296,-71.07558887,House,2,2.5,1.0,1.0,100.0
776,2473997,Urban Victorian-walk the city! Rm 3,42.32753475,-71.0829535,House,5,1.0,1.0,2.0,93.0
777,14300751,I have a comfy couch for you to crash on,42.325872,-71.07755316,House,1,1.0,1.0,1.0,93.0
778,14300921,Futon For You,42.32599705,-71.07877370000001,Apartment,2,1.5,1.0,1.0,93.0
780,5506,$99 Special! Hotel Alternative!,42.3298085,-71.09559469,House,2,1.0,1.0,1.0,91.0
781,2636365,South End Boston Brownstone,42.33631543,-71.08437459999999,Apartment,2,1.0,1.0,1.0,89.0
782,1884045,COMFY TWIN DOUBLE ROOM IN BOSTON,42.32656999,-71.08279766,Bed & Breakfast,2,1.0,1.0,2.0,87.0
783,5717690,Lovely South End 1 bedroom,42.34000152,-71.08129895,Apartment,4,1.0,1.0,2.0,85.0
784,10190260,High End South End Loft/Silver Line,42.333295299999996,-71.07815404,Condominium,1,1.5,1.0,1.0,100.0
785,6765855,Cozy Room in Brownstone Building,42.32685152,-71.09354562,Apartment,2,2.0,1.0,1.0,97.0
786,1342370,"Beautiful 2 Bedroom Apt, South End",42.33778383,-71.07967634,Apartment,6,1.0,2.0,3.0,84.0
787,349347,Modern Studio Apartment - South End,42.3382399,-71.08171734,Apartment,4,1.0,1.0,2.0,85.0
788,8469464,LG room near South End w Patio,42.32561122,-71.08131716,House,2,1.0,1.0,1.0,83.0
789,801722,$99 Special!!  Historic Comfort,42.32819244,-71.09404877,House,2,1.0,1.0,1.0,94.0
791,801680,**$125 Special!  Bostons Best!!!**,42.32852348,-71.09539244,Apartment,4,1.0,1.0,1.0,95.0
792,1175376,Newly Renovated 2 Bed in South End,42.33903881,-71.08104420000001,Apartment,6,1.0,2.0,2.0,89.0
794,14756269,2BR Apt Near T Stops/I95/Boston Logan Airport,42.33032267,-71.08009632,Apartment,5,1.0,2.0,2.0,60.0
795,12351909,Freshly Renovated Studio by T,42.32807881,-71.09619934,Apartment,4,1.0,0.0,1.0,97.0
796,1374466,"Real Boston, off the beaten track",42.32642042,-71.09013271,Apartment,1,1.0,1.0,1.0,97.0
797,1374434,"Authentic Boston, cozy room",42.32496967,-71.08948888,Apartment,1,1.0,1.0,1.0,93.0
799,12368082,Sky-room in beautiful victorian,42.31643567,-71.09391225,House,1,2.0,1.0,1.0,100.0
801,3602379,"Modern, Spacious 1BR Sleeps 4",42.3290909,-71.0945725,Apartment,4,1.0,1.0,2.0,92.0
803,8402408,Room on Top - South End brownstone,42.33690762,-71.0774773,Apartment,2,1.0,1.0,1.0,96.0
804,6780313,lovely sunny room in Boston,42.33539829,-71.08259403,Apartment,2,1.0,1.0,1.0,83.0
805,8238311,C1.  2 XL Twins,42.32955197,-71.09324127,House,2,2.0,1.0,2.0,88.0
807,4568116,Brownstone Cozy Private Studio,42.32952729,-71.09198969,Apartment,2,1.0,1.0,1.0,96.0
808,11300899,Studio Apartment with views,42.33423601,-71.07488605,Condominium,2,1.0,1.0,2.0,97.0
809,6780300,Large Sunny room in Boston,42.33588188,-71.08310262,Apartment,2,1.0,1.0,1.0,84.0
811,14813006,MODERN 3BR/2B apartment near Fenway!,42.32552766,-71.09404138,Apartment,14,2.0,3.0,9.0,100.0
812,8172380,B1. Cozy in the heart of Boston.,42.32954061,-71.09312837,House,2,2.0,1.0,1.0,88.0
813,13054720,Northeastern/South End Brownstone,42.33418301,-71.08132919,Apartment,2,1.0,1.0,1.0,98.0
814,11907764,"Private Room, Free Parking!",42.32295992,-71.06985375,House,4,1.0,1.0,2.0,82.0
815,8319253,Comfy Room (B) On A Scenic Hill,42.31740245,-71.073612,Apartment,2,1.0,1.0,1.0,80.0
816,60029,Room in geographical heart of Hub ,42.32584185,-71.0892685,Apartment,1,1.0,1.0,1.0,95.0
817,1403408,Big Boston room,42.324647799999994,-71.08869370000001,Apartment,2,0.0,1.0,1.0,100.0
818,9614024,Beautiful Studio Apt- Symphony area,42.34022256,-71.08298071,Apartment,2,1.0,0.0,1.0,70.0
819,14414473,Modern living in a conveniently located brownstone,42.33000609,-71.09193884,Apartment,2,1.0,1.0,1.0,100.0
821,8153848,C2. Middle of Boston,42.3301821,-71.09337406,House,2,2.0,1.0,2.0,86.0
822,4205641,Artist Studio in SoWa.,42.33473045,-71.0769275,Apartment,4,1.0,0.0,2.0,85.0
823,9415712,Room w/ Desk Near T Stops/I95/Boston Logan Airport,42.33040617,-71.08009649,Apartment,2,1.0,1.0,1.0,80.0
824,9694218,1 Bdr Apt on Boston's Fort Hill,42.32509557,-71.09621957,Apartment,4,1.0,1.0,1.0,97.0
826,6080461,$155* L@@K* Cozy Studio Suite! 1.5 miles to center,42.33031844,-71.09405535,Apartment,4,1.0,0.0,2.0,97.0
827,13298137,"Small Rm, Renovated House, EZ to Downtown/Longwood",42.31633899,-71.07923884,Apartment,1,1.0,1.0,1.0,100.0
829,13379155,Private room in Boston,42.33891849,-71.08396839,Apartment,1,1.0,1.0,1.0,80.0
830,10249798,2nd floor room in Victorian House,42.32634611,-71.06907965,House,1,1.0,1.0,1.0,100.0
831,7825327,Brown Stone Apt #4near Northeastern,42.33713489,-71.08381332,Apartment,8,2.0,3.0,5.0,78.0
832,12756776,Wonderful Boston apartment- 8 people,42.32559243,-71.09739571,Apartment,8,1.0,3.0,4.0,88.0
833,1550047,Desirable 3 Bed/2 Bath in South End,42.33832831,-71.08132466,Apartment,7,2.0,3.0,3.0,85.0
834,5269216,3 bedroom Garden Apt in South End,42.33767173,-71.08033835,Apartment,6,2.0,3.0,3.0,88.0
835,9166393,Spacious room close to T-Station,42.32584885,-71.09636804,House,2,1.0,1.0,1.0,100.0
836,11656698,Spacious 2 bedroom Apartment.,42.32333473,-71.09584194,House,4,1.0,2.0,2.0,94.0
837,9362821,Welcome Home,42.3377711,-71.08090101,Townhouse,2,1.0,1.0,1.0,87.0
838,1850260,Comfy Room in the heart of Boston ,42.32610820000001,-71.08181295,Bed & Breakfast,4,1.0,1.0,1.0,86.0
839,6645010,Cozy front room off the beaten path,42.31391431,-71.09274009,Apartment,2,1.0,1.0,2.0,89.0
840,13214949,Have fun and find rest affordably,42.32446332,-71.08605944,House,6,1.0,2.0,2.0,94.0
842,2892825,Sunny Hill Garden Suite 1,42.31111498,-71.08654091,House,10,3.5,3.0,5.0,84.0
843,8371203,Comfy Room (C) On A Scenic Hill,42.31610827,-71.07411924,Apartment,1,1.0,1.0,1.0,100.0
844,5317935,Family friendly Boston home,42.32479604,-71.09341289,House,8,3.5,3.0,4.0,100.0
846,6939454,Boston Executive Whole Apartment,42.32527568,-71.08100201,Apartment,8,1.0,2.0,2.0,83.0
847,7724412,Quiet Room w/ own Bathroom!,42.3396214,-71.08188076,Apartment,2,1.0,1.0,1.0,100.0
848,176006,Spacious 2 family w/Room to Spare,42.31434404,-71.0735016,House,2,1.0,1.0,1.0,93.0
849,7281884,"Charming urban studio, free parking",42.3128902,-71.08315548,House,2,1.0,0.0,1.0,95.0
850,13796564,Marie's Pied a Terre,42.324039,-71.07999509,House,2,0.5,1.0,1.0,80.0
851,3727560,Charming 1BD in house ,42.32923125,-71.07975836,House,2,1.5,1.0,3.0,87.0
852,10247000,Room in Brand new building,42.33351967,-71.07427293,Apartment,2,1.0,1.0,1.0,83.0
853,13753007,room in 4bed 2bath near T/NEU/Longwood/BU Medical,42.32770254,-71.09341583,Apartment,1,2.0,1.0,1.0,73.0
855,6695,$125 Special!! Home Away! Condo,42.32994061,-71.09350511,Apartment,4,1.0,1.0,2.0,95.0
856,10787333,Garden Apt - Highland Park/Fort Hill (Orange Line),42.32738352,-71.09471433,Apartment,2,1.0,1.0,1.0,100.0
858,5970118,"❤️ of Boston, South End, Back Bay",42.33975941,-71.08193843,House,2,1.0,1.0,1.0,93.0
860,4593974,Parking EZ 2 Downtown/Longwood Larg,42.31645798,-71.07951953,Apartment,1,1.0,1.0,1.0,95.0
861,3343428,Brownstone Custom Bedroom,42.32953005,-71.09275135,Apartment,2,1.0,1.0,1.0,100.0
862,6576530,Sunny Hill Garden Suite #2,42.31133579,-71.08512821,House,8,2.0,3.0,8.0,80.0
864,3888360,3BR/1.5BA + Prvt Patio - Boston,42.32555276,-71.08705705,Apartment,10,1.5,3.0,4.0,90.0
865,4560053,*$195 SPECIAL*  Historic Beauty!!,42.32404973,-71.0906873,Apartment,6,1.5,3.0,3.0,90.0
866,14426987,Your urban oasis,42.32672769,-71.09283128,Apartment,4,1.5,1.0,3.0,100.0
867,13653016,Stylish 2BR in Lower Roxbury,42.33638943,-71.08660455,Apartment,4,1.0,2.0,2.0,80.0
868,5526514,$155 Special Fresh! City Loft Apt,42.32827182,-71.09443188,Apartment,4,1.0,0.0,2.0,92.0
869,1602491,Urban Victorian-walk the city! Rm 2,42.32701652,-71.08146902,House,2,1.0,1.0,1.0,83.0
871,169430,Elegant Urban Art-Filled Victorian,42.32158165,-71.09047218,House,10,2.0,4.0,6.0,91.0
872,8420883,Outstanding Boston's  Brownstone,42.3324838,-71.07235984,House,3,2.0,1.0,3.0,68.0
873,13652639,Chic 3BR in Lower Roxbury,42.33565944,-71.08520379999999,Apartment,6,1.0,3.0,3.0,93.0
874,5940069,2 br walking dist. from marathon ❤️,42.33851671,-71.07949731,House,6,1.0,2.0,3.0,90.0
875,8228903,B3. Heart of Boston,42.33103846,-71.09455874,House,2,2.0,1.0,1.0,89.0
876,8310807,B2. Compact Office Suite w/ Futon,42.33087831,-71.09298435,House,1,2.0,1.0,1.0,96.0
878,4460532,Brownstone Modern Bedroom ,42.32821308,-71.09265012,Apartment,1,1.0,1.0,1.0,96.0
880,4263736,Brownstone Master Bedroom Suite,42.32943011,-71.09307508,Apartment,2,1.0,1.0,1.0,98.0
881,69369,Room in Boston off the beaten path,42.32614221,-71.08840448,Apartment,2,1.0,1.0,1.0,95.0
882,13077603,Comfortable furnished room with high ceilings.,42.31781669,-71.09135484,Apartment,1,1.5,1.0,1.0,98.0
883,8735827,Brownstone Serene Guest BR/Bath,42.32945376,-71.09308986,Townhouse,2,1.0,1.0,1.0,93.0
885,8703026,"Comfortable, Social-friendly Apt",42.32460041,-71.09799858,Apartment,1,1.0,1.0,1.0,87.0
890,6709682,Private room in Boston,42.33720962,-71.08478305,Apartment,2,1.0,1.0,1.0,86.0
892,3656168,Parking Close 2 Downtown Renovated,42.31793468,-71.07922631,Apartment,1,1.0,1.0,1.0,90.0
893,7784616,Spacious Furnished Bedroom Near Pru,42.33656432,-71.08414057,Apartment,1,1.0,1.0,1.0,90.0
894,7618925,4 Beds 2 Baths in Luxury Brownstone,42.32964015,-71.09274149,Apartment,8,2.0,4.0,5.0,100.0
895,13549924,High ceiling studio in the South End,42.33740473,-71.07842744,Apartment,4,1.0,0.0,2.0,100.0
