,listing_id,name,latitude,longitude,property_type,accommodates,bathrooms,bedrooms,beds,review_scores_rating,City
3426,1429904,One room cottage,47.66398274933785,-122.27482611715182,Cabin,2,1.0,0.0,2.0,95.0,Seattle
3427,9074837,Spacious private suite like living,47.66094611639318,-122.28685822610602,Apartment,2,1.0,1.0,1.0,100.0,Seattle
3428,4278896,Room & Private Bath in Sunny Apt,47.6650253234041,-122.28053356880413,Apartment,2,1.0,1.0,1.0,97.0,Seattle
3429,4016079,Close to the UW in Laurelhurst,47.6596404841275,-122.27077772581688,Apartment,4,1.0,2.0,4.0,99.0,Seattle
3430,7389950,Seattle Mid-Century Modern,47.657383080243314,-122.28578794612561,House,2,1.0,1.0,1.0,98.0,Seattle
3432,8612922,Spacious Laurelhurst Hideaway,47.65724093762146,-122.28477358046445,House,4,1.0,1.0,2.0,98.0,Seattle
3433,7564942,Private room near University of WA,47.664590676416594,-122.28164435658216,Apartment,2,1.0,1.0,1.0,100.0,Seattle
3434,5228066,Sunny 2Bdrm/2bath Apartment,47.66580643249395,-122.28143812274546,Apartment,4,2.0,2.0,2.0,90.0,Seattle
3435,8150045,Private Studio near UW & Childrens,47.66622533523533,-122.27675635150328,House,2,1.0,1.0,1.0,94.0,Seattle
3436,3413183,Geometric Modern Apt,47.64806732654159,-122.38286105722695,Apartment,2,1.0,1.0,1.0,100.0,Seattle
3437,3123041,Little Urban Studio / Private Entry,47.644179281707686,-122.38384747542048,House,2,1.0,1.0,1.0,96.0,Seattle
3438,2492143,Spacious Private bedroom & bath,47.647815153727464,-122.38898152626606,House,2,1.0,1.0,1.0,90.0,Seattle
3439,6714652,Private Studio in Charming Magnolia,47.646570549811116,-122.38841791663602,Loft,2,1.0,0.0,1.0,98.0,Seattle
3440,6678058,Private mother-in-law studio apt.,47.64767851842145,-122.39247421529105,House,2,1.0,1.0,1.0,93.0,Seattle
3441,1696194,Beach Bungalow Discounted 12.9 - 23,47.63297071016738,-122.39488690437372,House,4,1.0,1.0,2.0,96.0,Seattle
3442,9352778,Spacious 2BR/2BA Magnolia Townhouse,47.64776523114392,-122.38250655818243,House,6,2.0,2.0,3.0,100.0,Seattle
3443,2720963,Beautiful Home near Downtown,47.64161953692925,-122.389724880791,House,6,3.5,3.0,3.0,96.0,Seattle
3444,6591879,City Views - Available Sept Monthly,47.6433632015884,-122.38816519193291,Apartment,4,1.5,2.0,3.0,100.0,Seattle
3447,3971346,In City 50's Modern Urban Homestead,47.64667347178021,-122.3849647399193,House,6,1.5,3.0,3.0,98.0,Seattle
3448,3382533,Modern Drama Above Magnolia,47.641205651697206,-122.38686559245234,Apartment,4,1.0,1.0,1.0,98.0,Seattle
3449,8943821,"Quiet, cozy, and perfect location!",47.63862402703649,-122.3880129090587,Apartment,2,1.5,1.0,1.0,100.0,Seattle
3450,4485424,View Home 3.7 mi from Pike Pl. Mkt.,47.637912507127005,-122.39126417238708,House,8,3.0,3.0,4.0,100.0,Seattle
3451,7227464,Modern Magnolia Atelier,47.640325228430214,-122.38664944234016,Apartment,2,1.0,1.0,1.0,96.0,Seattle
3454,8012443,SuiteLouis #1 in Quiet West Seattle,47.5380635363737,-122.3674219256306,Townhouse,2,1.0,1.0,1.0,100.0,Seattle
3455,8094338,SuiteLouis #2 in Quiet West Seattle,47.538321675223216,-122.36603453915852,Townhouse,2,1.0,1.0,1.0,100.0,Seattle
3456,5096363,"Cozy, quiet room in West Seattle",47.53463338786296,-122.36468022624555,House,2,1.0,1.0,1.0,96.0,Seattle
3457,1980283,West Seattle Two Bedroom Apartment,47.5506879794897,-122.37504961717366,Apartment,4,1.0,2.0,2.0,94.0,Seattle
3458,2761092,Turquoise Dragonfly in West Seattle,47.548016342647344,-122.37570663675604,House,4,1.0,2.0,2.0,91.0,Seattle
3460,1145148,GardenLife Sanctuary ,47.55325067182282,-122.36299401356257,House,5,1.0,3.0,3.0,98.0,Seattle
3461,7039427,Private Room Close to Downtown,47.55296009065303,-122.37311355222671,House,2,1.0,1.0,1.0,99.0,Seattle
3462,7527242,15min-Downtown! Bus-steps away!,47.54294169322082,-122.36155532127785,House,6,1.0,3.0,3.0,93.0,Seattle
3464,9238818,Cozy Cottage,47.55364186010085,-122.36416852907087,House,4,1.0,2.0,3.0,80.0,Seattle
3465,3025456,New Townhome in West Seattle,47.54553299243136,-122.36731591177632,House,2,1.0,1.0,1.0,96.0,Seattle
3466,6888107,Cozy Room West Seattle,47.546028202580615,-122.37108016271887,Townhouse,4,1.5,1.0,3.0,97.0,Seattle
3467,3242605,Private zen den with sauna!,47.55420219990858,-122.39059049082256,House,2,1.0,1.0,1.0,94.0,Seattle
3468,6118198,Private Suite in Modern Home,47.555999959006854,-122.39320339501127,House,2,1.0,1.0,1.0,97.0,Seattle
3469,189156,Sweet Studio -Water & Mountain view,47.545430653295135,-122.3978372712452,Apartment,2,1.0,0.0,1.0,96.0,Seattle
3470,6990677,Oasis Near Puget Sound with Kitchen,47.55201260236479,-122.39369260794912,House,2,1.0,1.0,1.0,96.0,Seattle
3472,8645226,West Seattle warm and welcoming....,47.55691310249961,-122.3882632469595,House,2,1.0,1.0,1.0,96.0,Seattle
3473,859467,Alki Beach Waterfront Cape Cod HSE,47.55575249079988,-122.4000448211261,House,7,1.0,2.0,2.0,89.0,Seattle
3474,9096972,"Mid-Century Retreat, Saltwater View",47.55914900855164,-122.39757540885631,House,3,1.0,1.0,2.0,100.0,Seattle
3475,1246117,View Home in West Seattle ,47.547337983091424,-122.39046586395679,House,7,2.0,3.0,4.0,96.0,Seattle
3476,7665415,The Hideout at Alaska Junction,47.55872251387149,-122.38832216271351,Apartment,4,1.0,2.0,2.0,91.0,Seattle
3477,8583457,Le Petite Retreat,47.55929523648094,-122.40259362640042,House,4,1.0,2.0,2.0,100.0,Seattle
3478,146301,"West Seattle, The Full Moon Cottage",47.55483988706725,-122.38705658103588,House,6,1.0,2.0,4.0,94.0,Seattle
3479,677266,Toulouse room/Parisian charm cozy,47.549482354354105,-122.31778777192156,House,2,3.0,1.0,1.0,92.0,Seattle
3480,9419,Golden Sun vintage warm/sunny,47.550619698081206,-122.32013541411905,House,2,3.0,1.0,1.0,91.0,Seattle
3481,1950012,Artists' Retreat,47.545437012560654,-122.31912746539507,House,2,1.0,1.0,1.0,97.0,Seattle
3482,9508837,Georgetown Loft Apartment,47.54624714709494,-122.31964164578785,Loft,4,1.0,1.0,1.0,100.0,Seattle
3483,226677,Classic beauty room w/warm heat,47.54969070926658,-122.31867911342043,Other,2,3.0,1.0,1.0,93.0,Seattle
3484,7256122,Georgetown Modern Craftsman,47.54597775477952,-122.32069123197165,House,2,1.0,1.0,1.0,96.0,Seattle
3485,6765354,Roadhouse Retreat,47.5448804251218,-122.32115763425814,House,2,1.0,1.0,1.0,92.0,Seattle
3486,3303376,Zen space/yoga room warm and modern,47.55004279305379,-122.31779872417488,Other,2,3.0,1.0,1.0,90.0,Seattle
3489,4589654,Sweet home away from home,47.52667999543873,-122.3160363685384,House,4,1.0,2.0,3.0,88.0,Seattle
3490,7843145,February Special $125/night!,47.52790259680684,-122.36824721489764,House,4,1.0,2.0,3.0,96.0,Seattle
3491,8194164,West Seattle home just off 35th Ave,47.52816898758947,-122.37634665347868,House,2,1.0,1.0,1.0,90.0,Seattle
3493,6810430,West Seattle Haven,47.53045987399973,-122.35333175614059,House,3,1.0,1.0,2.0,93.0,Seattle
3494,902609,Awesome Studio in West Seattle,47.52448605379693,-122.35380141452104,House,3,1.0,1.0,1.0,95.0,Seattle
3495,696004,"Beautiful, Accessible 1 Bedroom Apt",47.51829751474039,-122.35068690463093,Apartment,4,1.0,1.0,2.0,92.0,Seattle
3496,4824581,The Mod Pod- Basement Suite,47.525433230984795,-122.34346494910947,House,4,1.0,1.0,1.0,99.0,Seattle
3497,72743,Get Cozy In West Seattle,47.525789161442106,-122.34451200063006,House,2,1.0,1.0,1.0,97.0,Seattle
3498,6019762,Peaceful Renovated General Store.,47.52974660556079,-122.349092257617,House,4,1.0,2.0,2.0,93.0,Seattle
3499,6133684,Large Private Basement Apartment,47.52508967609679,-122.3529101890388,House,2,1.0,1.0,1.0,92.0,Seattle
3501,6479027,Beautiful room and bathroom,47.52709692120228,-122.34633810173531,Townhouse,2,1.0,1.0,1.0,92.0,Seattle
3502,2508065,West Seattle Highland Park Hideaway,47.518817689459546,-122.35259848925892,House,4,2.0,2.0,2.0,100.0,Seattle
3503,8089781,Lakeside Cottage w/Beach access,47.638671431734295,-122.27685749378374,Apartment,2,1.0,1.0,1.0,92.0,Seattle
3504,7692789,Artistic Sanctuary Overlooking Lake,47.64094230025513,-122.27697357444558,Condominium,2,1.0,1.0,1.0,100.0,Seattle
3505,8136553,A cozy and quiet space for you !,47.64193320921958,-122.28018895342571,Apartment,2,1.0,1.0,1.0,100.0,Seattle
3506,1042022,Perfect Location by Lake Washington,47.634203826597,-122.280113188587,Apartment,2,1.0,1.0,1.0,94.0,Seattle
3507,8863714,Down Town Madison Park Apartment,47.63407860105917,-122.2788965737805,Apartment,4,1.0,1.0,1.0,80.0,Seattle
